Mine Name,CAAQMS_Source_Name,CAAQMS_Match_Type,Environmental_Anomaly,Environmental_Risk_Score,Environmental_Min_Anomaly_Score,Environmental_Anomaly_Count,Environmental_Observations,Environmental_Anomaly_Rate,Environmental_Available,Production_Source_Name,Production_Match_Type,Operational_ZScore,Operational_Absolute_ZScore,Operational_Anomaly,Operational_Anomaly_Category,Operational_Anomaly_Reason,Operational_Change,Data_Sufficient,Operational_Available,Evidence_Count,Evidence_Coverage,Evidence_Status,Safety_Evidence_Available,Safety_Evidence_Status
"Ravindra Khani-New Tech,",,,,,,,,,0,"Ravindra Khani-New Tech,",Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0199999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rehar,,,,,,,,,0,Rehar,Contextual_Fuzzy,-0.237179786697274,0.237179786697274,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.04,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Religara,,,,,,,,,0,Religara,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
ROCP/S. Jharia,,,,,,,,,0,ROCP/S. Jharia,Contextual_Fuzzy,0.3024382457464012,0.3024382457464012,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.5200000000000002,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rohini,,,,,,,,,0,Rohini,Contextual_Fuzzy,-0.4588086214509262,0.4588086214509262,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.27,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Samleswari OCP,,,,,,,,,0,Samleswari OCP,Contextual_Fuzzy,1.3624022380464769,1.3624022380464769,0.0,Normal,Latest production change is within the normal range of observed production changes.,1.62,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Sankarpur Colliery,,,,,,,,,0,Sankarpur Colliery,Contextual_Fuzzy,-0.2275437504036369,0.2275437504036369,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Saoner Mine - II,,,,,,,,,0,Saoner Mine - II,Contextual_Fuzzy,-0.1697275326418146,0.1697275326418146,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Saoner Mine - III,,,,,,,,,0,Saoner Mine - III,Contextual_Fuzzy,-0.1889996052290887,0.1889996052290887,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Saoner Mine-I,,,,,,,,,0,Saoner Mine-I,Contextual_Fuzzy,-0.1697275326418146,0.1697275326418146,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Saraipali,,,,,,,,,0,Saraipali,Contextual_Fuzzy,-0.0926392422927183,0.0926392422927183,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.1099999999999998,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Sarisatolli Coal Mine,,,,,,,,,0,Sarisatolli Coal Mine,Contextual_Fuzzy,-0.6900734924982155,0.6900734924982155,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.51,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Sarni Mine,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Sarubera,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Sasti Expn. OCM,,,,,,,,,0,Sasti Expn. OCM,Contextual_Fuzzy,-0.738253673966401,0.738253673966401,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.5600000000000003,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Satgram Incline,,,,,,,,,0,Satgram Incline,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Satgram Project,,,,,,,,,0,Satgram Project,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.02,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Saunda (Ncdc),,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Sayal `D',,,,,,,,,0,Sayal `D',Contextual_Fuzzy,0.6107914071427866,0.6107914071427866,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.84,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
SD OC Mine,,,,,,,,,0,SD OC Mine,Contextual_Fuzzy,-0.0059149156499846,0.0059149156499846,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.2000000000000001,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Sendra Bansjora,,,,,,,,,0,Sendra Bansjora,Contextual_Fuzzy,-0.3239041133400074,0.3239041133400074,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.13,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Shampur B,,,,,,,,,0,Shampur B,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Shanthi Khani,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Sharda Highwall,,,,,,,,,0,Sharda Highwall,Contextual_Fuzzy,-0.1504554600545405,0.1504554600545405,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0499999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Sharda UG,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Shivani,,,,,,,,,0,Shivani,Contextual_Fuzzy,-0.1504554600545405,0.1504554600545405,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.05,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Shyam Sundarpur Colliery,,,,,,,,,0,Shyam Sundarpur Colliery,Contextual_Fuzzy,-0.1408194237609035,0.1408194237609035,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0599999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
