Mine Name,Overall_Risk_Score,Risk_Category,Confidence_Score,Confidence_Category,Evidence_Coverage,Evidence_Status,Inspection_Priority,Priority_Score,Priority_Reason,AI_Recommendation
Ramagundam-OC 3 & OC III,27.31483054561598,LOW,60.0,Moderate,50.0,Operational Only,LOW,27.31483054561598,Low risk indicator (risk score 27.31); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Ramakrishnapur OC,5.206791945409062,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.206791945409062,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Ramnagar Colliery,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Rampur Batura,23.21951512082023,LOW,60.0,Moderate,50.0,Operational Only,LOW,23.21951512082023,Low risk indicator (risk score 23.22); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Raniatari,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Ravindra Khani-5 Incline,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Ravindra Khani-6 Incline,5.206791945409067,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.206791945409067,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
"Ravindra Khani-7,Incline",4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
"Ravindra Khani-New Tech,",5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Rehar,5.929494667431849,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.929494667431849,Low risk indicator (risk score 5.93); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Religara,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
ROCP/S. Jharia,7.5609561436600305,LOW,60.0,Moderate,50.0,Operational Only,LOW,7.5609561436600305,Low risk indicator (risk score 7.56); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Rohini,11.470215536273155,LOW,60.0,Moderate,50.0,Operational Only,LOW,11.470215536273155,Low risk indicator (risk score 11.47); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Samleswari OCP,34.06005595116192,MEDIUM,60.0,Moderate,50.0,Operational Only,LOW,34.06005595116192,Low risk indicator (risk score 34.06); no immediate high-risk indicator detected.,Monitoring and Review Required
Sankarpur Colliery,5.688593760090923,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.688593760090923,Low risk indicator (risk score 5.69); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Saoner Mine - II,4.243188316045365,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.243188316045365,Low risk indicator (risk score 4.24); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Saoner Mine - III,4.7249901307272175,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.7249901307272175,Low risk indicator (risk score 4.72); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Saoner Mine-I,4.243188316045365,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.243188316045365,Low risk indicator (risk score 4.24); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Saraipali,2.315981057317958,LOW,60.0,Moderate,50.0,Operational Only,LOW,2.315981057317958,Low risk indicator (risk score 2.32); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sarisatolli Coal Mine,17.251837312455386,LOW,60.0,Moderate,50.0,Operational Only,LOW,17.251837312455386,Low risk indicator (risk score 17.25); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sarni Mine,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Sarubera,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Sasti Expn. OCM,18.456341849160022,LOW,60.0,Moderate,50.0,Operational Only,LOW,18.456341849160022,Low risk indicator (risk score 18.46); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Satgram Incline,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Satgram Project,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Saunda (Ncdc),,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Sayal `D',15.269785178569665,LOW,60.0,Moderate,50.0,Operational Only,LOW,15.269785178569665,Low risk indicator (risk score 15.27); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
SD OC Mine,0.147872891249615,LOW,60.0,Moderate,50.0,Operational Only,LOW,0.147872891249615,Low risk indicator (risk score 0.15); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sendra Bansjora,8.097602833500185,LOW,60.0,Moderate,50.0,Operational Only,LOW,8.097602833500185,Low risk indicator (risk score 8.10); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Shampur B,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Shanthi Khani,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Sharda Highwall,3.761386501363512,LOW,60.0,Moderate,50.0,Operational Only,LOW,3.761386501363512,Low risk indicator (risk score 3.76); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sharda UG,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Shivani,3.761386501363512,LOW,60.0,Moderate,50.0,Operational Only,LOW,3.761386501363512,Low risk indicator (risk score 3.76); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Shyam Sundarpur Colliery,3.5204855940225874,LOW,60.0,Moderate,50.0,Operational Only,LOW,3.5204855940225874,Low risk indicator (risk score 3.52); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sial Ghogri Coal Mine,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Siarmal OCP,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Siduli Colliery,5.206791945409067,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.206791945409067,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sijua Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sikni OC Mine,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Silewara Colliery,4.48408922338629,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.48408922338629,Low risk indicator (risk score 4.48); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Singhali Colliery,5.20679194540907,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.20679194540907,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Singori OC,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sirka,2.0750801499770275,LOW,60.0,Moderate,50.0,Operational Only,LOW,2.0750801499770275,Low risk indicator (risk score 2.08); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Sonepur Bazari Project OCM,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
South Samla,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Srirampur OC,3.279584686681665,LOW,60.0,Moderate,50.0,Operational Only,LOW,3.279584686681665,Low risk indicator (risk score 3.28); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
"Srirampur-1, Incline",9.54300827754574,LOW,60.0,Moderate,50.0,Operational Only,LOW,9.54300827754574,Low risk indicator (risk score 9.54); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Srirampur-3 & 3A Incline,9.061206462863892,LOW,60.0,Moderate,50.0,Operational Only,LOW,9.061206462863892,Low risk indicator (risk score 9.06); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Suliyari,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Tadicherla 1 OCM,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Takli Jena Bellora,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Talabira II & III,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Talaipalli Coal Mine,100.0,CRITICAL,60.0,Moderate,50.0,Operational Only,HIGH,100.0,High risk indicator detected (risk score 100.00). Further assessment should be prioritized.,Priority Inspection / Further Assessment Required
Tandsi,6.170395574772773,LOW,60.0,Moderate,50.0,Operational Only,LOW,6.170395574772773,Low risk indicator (risk score 6.17); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tapin North,1.11147652061332,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.11147652061332,Low risk indicator (risk score 1.11); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tapin South,2.9838389041824174,LOW,60.0,Moderate,50.0,Operational Only,LOW,2.9838389041824174,Low risk indicator (risk score 2.98); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tara(E&W),,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Tarmi,1.7793343674777924,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.7793343674777924,Low risk indicator (risk score 1.78); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tasra Colliery,4.243188316045365,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.243188316045365,Low risk indicator (risk score 4.24); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tawa Mine,5.206791945409067,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.206791945409067,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tawa-II,5.929494667431849,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.929494667431849,Low risk indicator (risk score 5.93); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tetaria Khar,2.0750801499770275,LOW,60.0,Moderate,50.0,Operational Only,LOW,2.0750801499770275,Low risk indicator (risk score 2.08); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tetulmari,4.00228740870444,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.00228740870444,Low risk indicator (risk score 4.00); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tikak Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Tilaboni Colliery,5.20679194540907,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.20679194540907,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Topa Marginal Scheme,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Trans Damodar Coal Mine,5.874649792273537,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.874649792273537,Low risk indicator (risk score 5.87); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Ukni OC,2.797782871999805,LOW,60.0,Moderate,50.0,Operational Only,LOW,2.797782871999805,Low risk indicator (risk score 2.80); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Umaria,5.20679194540907,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.20679194540907,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Umrer OC Mine,21.82895455193299,LOW,60.0,Moderate,50.0,Operational Only,LOW,21.82895455193299,Low risk indicator (risk score 21.83); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Urdhan,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Urimari,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Utkal C Coal Mine,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Utkal D,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Vakilpalli,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Vijay West,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Vindhya,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Vishnupuri-II,5.20679194540907,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.20679194540907,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
West Bokaro OC (Quarry-E & SE),5.688593760090928,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.688593760090928,Low risk indicator (risk score 5.69); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
West Bokaro OC Quarry-AB,0.3339289234322325,LOW,60.0,Moderate,50.0,Operational Only,LOW,0.3339289234322325,Low risk indicator (risk score 0.33); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
West Jhagrakhand,5.929494667431845,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.929494667431845,Low risk indicator (risk score 5.93); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
