Company Name,Area Name,Mine Name,Creation datetime,Record time,PM - 2.5 (µg/m3),PM - 10 (µg/m3),SO2 (µg/m3),NO2  (µg/m3),CO (mg/m3),Device ID,Created by,Date
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:58:00,2026-08-30 16:28:00,13.32,13.3,32.71,,0.39,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:58:00,2026-08-30 16:28:00,13.0,13.24,37.28,,0.44,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:57:00,2026-08-30 16:27:00,12.53,13.38,35.8,,0.57,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:57:00,2026-08-30 16:27:00,12.08,13.53,39.26,,0.57,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:56:00,2026-08-30 16:26:00,11.64,13.79,31.86,,0.6,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:56:00,2026-08-30 16:26:00,11.2,13.99,35.5,,0.58,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:55:00,2026-08-30 16:25:00,10.63,14.23,36.09,,0.6,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,"Gevra , Chattisgarh",SECL GEVRA,2026-08-30 21:55:00,2026-08-30 21:45:00,45.7,81.73,14.0,10.44,0.97,site_,Envea India Pvt Ltd,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:55:00,2026-08-30 16:25:00,10.33,14.41,34.55,,0.72,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:54:00,2026-08-30 16:24:00,10.21,14.68,33.52,,0.61,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:54:00,2026-08-30 16:24:00,10.22,15.14,30.0,,0.41,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:53:00,2026-08-30 16:23:00,10.24,15.43,37.67,,0.49,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:53:00,2026-08-30 16:23:00,10.24,15.52,38.62,,0.56,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:52:00,2026-08-30 16:22:00,10.4,15.55,32.65,,0.51,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:52:00,2026-08-30 16:22:00,10.73,15.64,32.21,,0.59,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:51:00,2026-08-30 16:21:00,11.15,15.69,35.07,,0.5,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:51:00,2026-08-30 16:21:00,11.5,15.43,34.59,,0.61,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:50:00,2026-08-30 16:20:00,11.78,15.17,38.45,,0.65,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:50:00,2026-08-30 16:20:00,12.05,15.09,35.31,,0.58,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:49:00,2026-08-30 16:19:00,12.25,15.08,34.02,,0.52,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:49:00,2026-08-30 16:19:00,12.35,15.06,30.9,,0.6,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:48:00,2026-08-30 16:18:00,12.23,14.96,37.09,,0.38,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:48:00,2026-08-30 16:18:00,12.09,14.98,38.07,,0.3,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:47:00,2026-08-30 16:17:00,12.07,14.99,33.98,,0.4,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:47:00,2026-08-30 16:17:00,12.13,15.01,32.04,,0.36,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:46:00,2026-08-30 16:16:00,12.19,15.07,34.64,,0.44,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:46:00,2026-08-30 16:16:00,12.33,15.08,34.27,,0.32,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,"Bilaspur, CHHATTISGARHr",South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 21:45:00,2026-08-30 16:14:00,3.95,,20.04,0.0,0.0,site_5592,Swan Environ,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:45:00,2026-08-30 16:15:00,12.54,15.25,36.97,,0.24,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:45:00,2026-08-30 16:15:00,12.97,15.37,36.09,,0.19,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:44:00,2026-08-30 16:14:00,13.39,15.52,32.04,,0.35,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:44:00,2026-08-30 16:14:00,13.88,15.61,35.5,,0.31,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:43:00,2026-08-30 16:13:00,14.46,15.58,28.14,,0.32,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:43:00,2026-08-30 16:13:00,14.74,15.47,34.09,,0.28,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:42:00,2026-08-30 16:12:00,15.17,15.39,30.36,,0.22,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:42:00,2026-08-30 16:12:00,15.3,15.34,31.01,,0.08,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:41:00,2026-08-30 16:11:00,15.45,15.33,38.32,,0.03,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:41:00,2026-08-30 16:11:00,15.62,15.3,38.84,,0.14,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:40:00,2026-08-30 16:10:00,15.92,15.35,35.01,,0.11,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,"Gevra , Chattisgarh",SECL GEVRA,2026-08-30 21:40:00,2026-08-30 21:30:00,35.0,63.23,13.41,8.86,0.71,site_,Envea India Pvt Ltd,2026-08-30
