Mine ID,Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,Production,Despatch
GIDI_C,Gidi `C',CCL,Jharkhand,HAZARIBAGH,S.K.Coalfields,Argada,Opencast,PUBLIC,0.599,0
GIRIDIH_OC,Giridih OC,CCL,Jharkhand,GIRIDIH,Giridih,Giridih OC,Opencast,PUBLIC,0.0,0
GODAVARI_KHANI_1_3,Godavari Khani 1 & 3,SCCL,Telangana,KHAMMAM,Godavari Valley,Ramagundam-I,Underground,PUBLIC,0.169,0
GODAVARI_KHANI_11_INCLINE,Godavari Khani-11 Incline,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Ramagundam-I,Underground,PUBLIC,0.606,0
GODAVARI_KHANI_2_2A,Godavari Khani-2 & 2A,SCCL,Telangana,KHAMMAM,Godavari Valley,Ramagundam-I,Underground,PUBLIC,0.215,0
GODAVARIKHANI_V_OC,Godavarikhani V OC,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Ramagundam-I,Opencast,PUBLIC,3.505,0
GOKUL_OC_MINE_GOKUL_EXTN,Gokul OC Mine + Gokul Extn.,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,1.807,0
GONDUDIH_KHAS_KUSUNDA,Gondudih/Khas Kusunda,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,1.45,0
GOPALICHUCK,Gopalichuck,BCCL,Jharkhand,DHANBAD,Jharia,P.B.Project,Opencast,PUBLIC,0.358,0
GOPINATHPUR,Gopinathpur,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Opencast,PUBLIC,0.0,0
GOTITORIA_E_W,Gotitoria E & W,BSMPL,Madhya Pradesh,Narsinghpur,Mohpani,Dharamsthal,Opencast,PRIVATE,0.3,0
GOURANGDI_A_OCP,Gourangdi-A OCP,ECL,West Bengal,Bardhaman,Mugma/Salanpur,Salanpur,Opencast,PUBLIC,1.407,0
GOURANGDIH_EXTN_OC,Gourangdih Extn OC,ECL,West Bengal,Bardhaman,Mugma/Salanpur,Salanpur,Opencast,PUBLIC,0.74,0
GOURI_PAUNI_A_OCM,Gouri -Pauni(A) OCM,WCL,Maharashtra,CHANDRAPUR,Wardha,Ballarpur,Opencast,PUBLIC,2.574,0
GOURI_DEEP,Gouri Deep,WCL,Maharashtra,CHANDRAPUR,Wardha,Ballarpur,Opencast,PUBLIC,0.378,0
GOUTHAMPUR_KHANI_OCP,Gouthampur Khani OCP,SCCL,Telangana,KHAMMAM,Godavari Valley,Kothagudem,Opencast,PUBLIC,0.127,0
GOVINDPUR,Govindpur,CCL,Jharkhand,BOKARO,E. Bokaro,Kathara,Underground,PUBLIC,0.016,0
GOVINDPUR_PH_II_OCP,Govindpur Ph-II OCP,CCL,Jharkhand,BOKARO,E. Bokaro,Kathara,Opencast,PUBLIC,0.944,0
GP_IV_8_COAL_MINE,GP-IV-8 Coal Mine,AMBUJA,Chhattisgarh,RAIGARH,Mand Raigarh,Raigarh,Underground,PRIVATE,0.95,0
HALDIBARI,Haldibari,SECL,Chhattisgarh,KOREA,Central India,Hasdeo,Underground,PUBLIC,0.592,0
HARIAJAM,Hariajam,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,0.047,0
HINDUSTAN_LALPETH_COLLIERY_NO_1,Hindustan Lalpeth Colliery No.1,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,0.0,0
HINDUSTAN_LALPETH_OC,Hindustan Lalpeth OC,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Opencast,PUBLIC,1.0,0
HINGULA_OCP,Hingula OCP,MCL,Odisha,Angul,Talcher,Hingula,Opencast,PUBLIC,13.06,0
HIRAKHAND_BUNDIA_MINE,Hirakhand Bundia Mine,MCL,Odisha,JHARSUGUDA,IB Valley,Orient,Underground,PUBLIC,0.201,0
HURRA_C,Hurra C,ECL,Jharkhand,GODDA,Rajmahal,Rajmahal,Opencast,PUBLIC,2.074,0
INDARAM_KHANI_1A_INCLINE,"Indaram Khani-1A, Incline",SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,Underground,PUBLIC,0.196,0
INDARAM_KHANI_OC,Indaram Khani-OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,Opencast,PUBLIC,1.221,0
INT_LAKHANPUR_BELPAHAR_LILARI_OCP,Int. Lakhanpur-Belpahar-Lilari OCP,MCL,Odisha,JHARSUGUDA,IB Valley,Lakhanpur,Opencast,PUBLIC,32.201,0
ITAPARA_OC_PATCH,Itapara OC Patch,ECL,West Bengal,Bardhaman,Mugma/Salanpur,Salanpur,Opencast,PUBLIC,0.208,0
J_K_NAGAR_COLLIERY,J. K. Nagar Colliery,ECL,West Bengal,Bardhaman,Raniganj,Satgram,Underground,PUBLIC,0.137,0
JAGANATHPUR,Jaganathpur,SECL,Chhattisgarh,SURGUJA,Central India,Bhatgaon,Opencast,PUBLIC,2.832,0
JAGANNATH_RE_ORG_OCP,Jagannath Re-org OCP,MCL,Odisha,Angul,Talcher,Jagannath,Opencast,PUBLIC,7.5,0
JALAGAM_VENGALA_RAO_OC_2,Jalagam Vengala Rao OC-2,SCCL,Telangana,KHAMMAM,Godavari Valley,Kothagudem,Opencast,PUBLIC,11.068,0
JALIPA,Jalipa,HIL,Chhattisgarh,RAIGARH,Mand-Raigarh,Gare Palma Area,Opencast,PRIVATE,0.468,0
JAMADOBA_COLLIERY,Jamadoba Colliery,TSL,Jharkhand,DHANBAD,Jharia,Jamadoba,Mixed,PRIVATE,0.05,0
