Source,Source_Mine_Name,Source_Company,Source_State,Master_Mine_Name,Master_Company,Master_State,Master_District,Master_Coalfield,Master_Area,Master_Mine_Type,Master_Ownership,Match_Type,Match_Score,Score_Gap,Review_Required,Mapping_Status
Production,Krishnshila OCP,NCL,Uttar Pradesh,Krishnshila OCP,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Krishnshila,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.5389,Yes,Matched_Review
Production,Kujama,BCCL,Jharkhand,Kujama,BCCL,Jharkhand,DHANBAD,Jharia,Lodna,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.448,Yes,Matched_Review
Production,Kuju Colliery,CCL,Jharkhand,Kuju Colliery,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.5451,Yes,Matched_Review
Production,Kulda OCP Balinga,MCL,Odisha,Kulda OCP Balinga,MCL,Odisha,SUNDARGARH,IB Valley,Basundhara,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.42,Yes,Matched_Review
Production,Kumardhubi Colliery,ECL,Jharkhand,Kumardhubi Colliery,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.474,Yes,Matched_Review
Production,Kumardihi-A Colliery,ECL,West Bengal,Kumardihi-A Colliery,ECL,West Bengal,Bardhaman,Raniganj,Bankola,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4107,Yes,Matched_Review
Production,Kumberkhani,WCL,Maharashtra,,,,,,,,,Unmatched,0.4855,0.0086,Yes,Unmatched
Production,Kumda 1 & 2,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.692,0.0093,Yes,Unmatched
Production,Kumda 7 & 8,SECL,Chhattisgarh,Kumda 7 & 8,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4529,Yes,Matched_Review
Production,Kunustoria Colliery,ECL,West Bengal,Kunustoria Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kunustoria,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.49,Yes,Matched_Review
Production,Kurasia UG,SECL,Chhattisgarh,Kurasia UG,SECL,Chhattisgarh,KOREA,Central India,Chirimiri,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.5232,Yes,Matched_Review
