Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Missing_2021_22,Missing_2022_23,Missing_2023_24,Data_Sufficient
Bejdih Colliery,West Bengal,ECL,0.03,0.04,0.04,0.010000000000000002,0.0,33.33333333333334,0.0,0.036666666666666674,0.005773502691896259,3,0,0.0,0.0,0,0,0,1
Belampalli OC-II,Telangana,SCCL,0.09,,,,,,,0.09,,1,0,,,0,1,1,0
Belbaid Colliery,West Bengal,ECL,0.05,0.04,0.04,-0.010000000000000002,0.0,-20.000000000000004,0.0,0.043333333333333335,0.005773502691896258,3,0,0.0,0.0,0,0,0,1
Belgaon Coal Mine,Maharashtra,SIL,,0.19,0.15,,-0.04000000000000001,,-21.052631578947373,0.16999999999999998,0.02828427124746191,2,0,-0.04000000000000001,-21.052631578947373,1,0,0,1
Belgaon UG Coal Mine,Maharashtra,SIL,0.17,,,,,,,0.17,,1,0,,,0,1,1,0
Bellora Naigaon Deep,Maharashtra,WCL,0.94,,,,,,,0.94,,1,0,,,0,1,1,0
Belpahar OCP,Odisha,MCL,7.25,7.51,,0.2599999999999998,,3.586206896551721,,7.38,0.1838477631085022,2,0,,,0,0,1,1
Bera,Jharkhand,BCCL,0.01,,,,,,,0.01,,1,0,,,0,1,1,0
Bhadra,Madhya Pradesh,SECL,0.1,0.13,0.1,0.03,-0.03,30.0,-23.076923076923077,0.11,0.017320508075688773,3,0,-0.03,-23.076923076923077,0,0,0,1
Bhagabandh,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Bhajipani,Madhya Pradesh,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Bhanegaon,Maharashtra,WCL,0.63,,,,,,,0.63,,1,0,,,0,1,1,0
Bhanegaon OCM,Maharashtra,WCL,,0.4,1.15,,0.7499999999999999,,187.49999999999994,0.7749999999999999,0.5303300858899105,2,0,0.7499999999999999,187.49999999999994,1,0,0,1
Bhanora West Block colliery & Bhanora OC patch (H),West Bengal,ECL,0.06,0.03,0.03,-0.03,0.0,-50.0,0.0,0.04,0.017320508075688773,3,0,0.0,0.0,0,0,0,1
Bharatpur,Odisha,MCL,9.25,9.25,,0.0,,0.0,,9.25,0.0,2,0,,,0,0,1,1
Bharatpur OCP,Odisha,MCL,,,11.12,,,,,11.12,,1,0,,,1,1,0,0
Bhatadi OC Mine,Maharashtra,WCL,1.3,1.47,0.85,0.16999999999999993,-0.62,13.076923076923071,-42.17687074829932,1.2066666666666668,0.32036437588054845,3,0,-0.62,-42.17687074829932,0,0,0,1
Bhatgaon,Chhattisgarh,SECL,0.27,0.23,0.19,-0.04000000000000001,-0.04000000000000001,-14.814814814814817,-17.39130434782609,0.22999999999999998,0.04000000000000001,3,0,-0.04000000000000001,-17.39130434782609,0,0,0,1
"Bhelatand 'A' Colliery,",Jharkhand,TSL,0.26,,,,,,,0.26,,1,0,,,0,1,1,0
"Bhelatand Colliery,",Jharkhand,TSLJH,,0.23,0.22,,-0.010000000000000009,,-4.347826086956525,0.225,0.007071067811865481,2,0,-0.010000000000000009,-4.347826086956525,1,0,0,1
Bhowra(N),Jharkhand,BCCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Bhowra(S),Jharkhand,BCCL,0.26,0.36,0.71,0.09999999999999998,0.35,38.46153846153845,97.22222222222221,0.44333333333333336,0.2362907813126304,3,0,0.35,97.22222222222221,0,0,0,1
Bhubaneswari OCP,Odisha,MCL,28.0,30.0,24.24,2.0,-5.760000000000002,7.142857142857142,-19.200000000000006,27.41333333333333,2.9244714622190005,3,0,-5.760000000000002,-19.200000000000006,0,0,0,1
Bhurkunda,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Bhurkunda (Sangum),Jharkhand,CCL,0.0,0.41,0.14,0.41,-0.26999999999999996,,-65.85365853658536,0.18333333333333335,0.20840665376454115,3,1,-0.26999999999999996,-65.85365853658536,0,0,0,1
Bicharpur,Madhya Pradesh,UTCL,0.02,0.36,0.75,0.33999999999999997,0.39,1699.9999999999995,108.33333333333334,0.37666666666666665,0.3652852766446156,3,0,0.39,108.33333333333334,0,0,0,1
Bijari OC,Chhattisgarh,SECL,1.03,0.76,1.61,-0.27,0.8500000000000001,-26.21359223300971,111.8421052631579,1.1333333333333335,0.4343193909248508,3,0,0.8500000000000001,111.8421052631579,0,0,0,1
Bijuri,Madhya Pradesh,SECL,0.12,0.14,0.09,0.020000000000000018,-0.05000000000000002,16.666666666666682,-35.71428571428572,0.11666666666666665,0.02516611478423584,3,0,-0.05000000000000002,-35.71428571428572,0,0,0,1
Bina Extn,Uttar Pradesh,NCL,9.0,10.5,10.5,1.5,0.0,16.666666666666664,0.0,10.0,0.8660254037844386,3,0,0.0,0.0,0,0,0,1
Birsinghpur,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"Bisrampur,",Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Block-B OCP,Madhya Pradesh,NCL,5.47,,,,,,,5.47,,1,0,,,0,1,1,0
Block-B Project,Madhya Pradesh,NCL,,5.47,5.47,,0.0,,0.0,5.47,0.0,2,0,0.0,0.0,1,0,0,1
Bokaro OC (Bermo),Jharkhand,CCL,0.15,0.31,0.33,0.16,0.020000000000000018,106.66666666666667,6.451612903225811,0.26333333333333336,0.09865765724632496,3,0,0.020000000000000018,6.451612903225811,0,0,0,1
Bonjemehari OC (Extn),West Bengal,ECL,,,0.32,,,,,0.32,,1,0,,,1,1,0,0
Bonjemihari (Extn),West Bengal,ECL,0.07,0.14,,0.07,,100.0,,0.10500000000000001,0.04949747468305833,2,0,,,0,0,1,1
Buragarh,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
C L Jambad Colliery,West Bengal,ECL,0.04,0.01,0.03,-0.03,0.019999999999999997,-75.0,199.99999999999994,0.02666666666666667,0.015275252316519468,3,0,0.019999999999999997,199.99999999999994,0,0,0,1
Central Kajora Colliery,West Bengal,ECL,0.08,0.09,0.07,0.009999999999999995,-0.01999999999999999,12.499999999999993,-22.222222222222214,0.08,0.009999999999999995,3,0,-0.01999999999999999,-22.222222222222214,0,0,0,1
Central Saunda,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Chachai,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Chainpur(Sarubera) Colly.,Jharkhand,CCL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3,3,0.0,,0,0,0,1
Chanda Rayatwari Colly.,Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Chapapur-II,Jharkhand,ECL,0.19,0.39,,0.2,,105.26315789473684,,0.29000000000000004,0.14142135623730953,2,0,,,0,0,1,1
Chapapur-II & Chappapur 10 Quarry (OC),Jharkhand,ECL,,,0.45,,,,,0.45,,1,0,,,1,1,0,0
Chapuikhas Colliery,West Bengal,ECL,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0,3,0,0.0,0.0,0,0,0,1
Charanpur OCP,West Bengal,ECL,,,0.05,,,,,0.05,,1,0,,,1,1,0,0
Chasnalla Colliery,Jharkhand,IISCO,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Chasnalla Colliery,Jharkhand,IISCOC,,0.06,0.1,,0.04000000000000001,,66.66666666666669,0.08,0.02828427124746191,2,0,0.04000000000000001,66.66666666666669,1,0,0,1
Chatti Bariatu Coal Mining Project,Chhattisgarh,NTPC_CB,,0.58,,,,,,0.58,,1,0,,,1,0,1,0
Chatti Bariatu Coal Mining Project,Jharkhand,NTPC_CB,,,3.3,,,,,3.3,,1,0,,,1,1,0,0
Chendipada OCP,Odisha,MCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Chhal,Chhattisgarh,SECL,3.34,3.85,,0.5100000000000002,,15.269461077844317,,3.5949999999999998,0.3606244584051394,2,0,,,0,0,1,1
Chhal Incline,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Chhal OC,Chhattisgarh,SECL,,,5.51,,,,,5.51,,1,0,,,1,1,0,0
Chhatarpur -II,Madhya Pradesh,WCL,0.07,0.13,0.05,0.06,-0.08,85.7142857142857,-61.53846153846154,0.08333333333333333,0.041633319989322654,3,0,-0.08,-61.53846153846154,0,0,0,1
Chhatarpur 1,Madhya Pradesh,WCL,0.33,0.41,0.65,0.07999999999999996,0.24000000000000005,24.242424242424228,58.536585365853675,0.4633333333333334,0.16653327995729061,3,0,0.24000000000000005,58.536585365853675,0,0,0,1
Chhinda,Madhya Pradesh,WCL,0.0,,0.0,,,,,0.0,0.0,2,2,,,0,1,0,1
Chinakuri - III Colliery,West Bengal,ECL,0.05,0.07,,0.020000000000000004,,40.00000000000001,,0.060000000000000005,0.014142135623730954,2,0,,,0,0,1,1
Chinakuri Mine III,West Bengal,ECL,,,0.07,,,,,0.07,,1,0,,,1,1,0,0
Chirimiri,Chhattisgarh,SECL,0.92,0.7,0.96,-0.22000000000000008,0.26,-23.913043478260878,37.142857142857146,0.86,0.14,3,0,0.26,37.142857142857146,0,0,0,1
Chirimiri Anjan Hill,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Chirimiri Bartunga Hill,Chhattisgarh,SECL,0.13,0.11,,-0.020000000000000004,,-15.384615384615389,,0.12,0.014142135623730954,2,0,,,0,0,1,1
Chitra East OCP,Jharkhand,ECL,0.99,1.03,1.76,0.040000000000000036,0.73,4.040404040404044,70.87378640776699,1.26,0.43347433603386487,3,0,0.73,70.87378640776699,0,0,0,1
