Year,State,Company,Producing Mine,Production (in MT)
2021-22,Chhattisgarh,HIL,Gare Palma IV/5 Coal Mine,0.00
2021-22,Jharkhand,HIL,Kathautia Open Cast Coal Mine,0.37
2021-22,Jharkhand,IISCO,Noonodih Jitpur Colliery,0.08
2021-22,Jharkhand,IISCO,Chasnalla Colliery,0.00
2021-22,West Bengal,IISCO,Ramnagar Colliery,0.02
2021-22,J & K,JKML,Metica Coal Mine,0.01
2021-22,J & K,JKML,Moghla Coal Mine,0.01
2021-22,Chhattisgarh,JPL,Gare Palma 1,0.36
2021-22,Madhya Pradesh,JPVL,Amelia (North ) Coal Mine,2.80
2021-22,Jharkhand,JSMDCL,Sikni Open Cast Mine,0.05
2021-22,Maharashtra,KPCL,Baranj,1.26
2021-22,Odisha,MCL,Jagannath OCP,7.03
2021-22,Odisha,MCL,Ananta OCP,13.58
2021-22,Odisha,MCL,Bhubaneswari OCP,28.00
2021-22,Odisha,MCL,Talcher(W) UG,0.00
2021-22,Odisha,MCL,Jagannath UG,0.00
2021-22,Odisha,MCL,Balanda Colliery,0.00
2021-22,Odisha,MCL,Bharatpur,9.25
2021-22,Odisha,MCL,Chendipada OCP,0.00
2021-22,Odisha,MCL,Lingaraj OCP,14.46
2021-22,Odisha,MCL,Kaniha OCP,10.10
2021-22,Odisha,MCL,Balram OCP,6.53
2021-22,Odisha,MCL,Hingula OCP,7.74
2021-22,Odisha,MCL,Nandira Colliery,0.06
2021-22,Odisha,MCL,Lajkura Ocm,4.50
2021-22,Odisha,MCL,Samleswari OCP,5.19
2021-22,Odisha,MCL,Belpahar OCP,7.25
2021-22,Odisha,MCL,Lakhanpur OCP,21.00
2021-22,Odisha,MCL,Basundhara (West),1.00
2021-22,Odisha,MCL,Kulda OCP Balinga,18.50
2021-22,Odisha,MCL,Garjanbahal OCP,13.55
2021-22,Odisha,MCL,Hirakhand Bundia Mine,0.21
2021-22,Odisha,MCL,Orient Colliery 1 & 2,0.23
2021-22,Madhya Pradesh,NCL,Amlohri,14.00
2021-22,Uttar Pradesh,NCL,Bina Extn,9.00
2021-22,Uttar Pradesh,NCL,Dudhichua OCP,22.06
2021-22,Madhya Pradesh,NCL,Jayant OCP,24.75
2021-22,Madhya Pradesh,NCL,Jhingurda OCP,2.74
2021-22,Uttar Pradesh,NCL,Kakri OCP,2.41
2021-22,Uttar Pradesh,NCL,Khadia OCP,14.00
2021-22,Madhya Pradesh,NCL,Nigahi Project,21.00
2021-22,Uttar Pradesh,NCL,Krishnshila OCP,7.00
2021-22,Madhya Pradesh,NCL,Block-B OCP,5.47
2021-22,Assam,NEC,Tirap Colliery,0.03
2021-22,Odisha,NLCIL,Talabira II & III,6.36
2021-22,Jharkhand,NTPC,Pakri Barwadih,8.32
2021-22,Odisha,NTPC,Dulanga Coal Mining Project,5.29
2021-22,Chhattisgarh,NTPC,Talaipalli Coal Mining Project,0.41
2021-22,Odisha,OCPL,Manoharpur Coal Mine,5.25
2021-22,Madhya Pradesh,RCCPL,Sial Ghogri Coal Mine,0.21
2021-22,Chhattisgarh,RRVUNL,Parsa East and Kanta Basan,15.00
2021-22,Jharkhand,SAIL,Tasra Colliery,0.34
2021-22,Telangana,SCCL,"PVK-5 Incline,",0.21
2021-22,Telangana,SCCL,"Gautham Khani,",3.60
2021-22,Telangana,SCCL,Jalagam Vengala Rao OC-2,7.35
2021-22,Telangana,SCCL,Kistaram OC,2.00
2021-22,Telangana,SCCL,Koya Gundem OC II,3.44
2021-22,Telangana,SCCL,"Jawahar Khani-5,",2.50
2021-22,Telangana,SCCL,Prakasham Khani OC,9.75
2021-22,Telangana,SCCL,Manuguru' Opencast,2.10
2021-22,Telangana,SCCL,Kondapuram,0.10
2021-22,Telangana,SCCL,Godavari Khani-1 & 3,0.17
2021-22,Telangana,SCCL,Godavari Khani-2 & 2A,0.27
2021-22,Telangana,SCCL,Godavari Khani-11,0.49
2021-22,Telangana,SCCL,"Medpalli OCP,",0.72
2021-22,Telangana,SCCL,Godavarikhani v OC,0.41
2021-22,Telangana,SCCL,Vakilpalli,0.21
2021-22,Telangana,SCCL,Godavari Khani-7 LEP,0.06
2021-22,Telangana,SCCL,Ramagundam-OC 3 & OC III,8.16
2021-22,Telangana,SCCL,Ramagundam OC-II Extn,3.24
2021-22,Telangana,SCCL,Ramagundam OC-I Extn. Ph-II,3.30
2021-22,Telangana,SCCL,Kakatiya Khani-1 & 1A,0.26
2021-22,Telangana,SCCL,Kakatiya Khani-5 Incline,0.24
2021-22,Telangana,SCCL,"Kakatiya Khani-6, Incline",0.14
2021-22,Telangana,SCCL,Kakatiya Khani-8 & 8A,0.21
2021-22,Telangana,SCCL,Kakatiya Khani-OC II,1.18
2021-22,Telangana,SCCL,Kakatiya Khani-OC-III,0.36
2021-22,Telangana,SCCL,Adriyala Project Area,1.15
2021-22,Telangana,SCCL,Khairagura OC,2.36
2021-22,Telangana,SCCL,Belampalli OC-II,0.09
2021-22,Telangana,SCCL,"Shanthi Khani,",0.09
2021-22,Telangana,SCCL,Kalyan Khani-1,0.18
2021-22,Telangana,SCCL,Kalyan Khani-5,0.16
2021-22,Telangana,SCCL,Kasipet 1 Incline,0.13
2021-22,Telangana,SCCL,"Ravindra Khani-1A,",0.09
2021-22,Telangana,SCCL,Kasipet 2 Incline,0.07
2021-22,Telangana,SCCL,Ramakrishnapur OC,2.20
2021-22,Telangana,SCCL,Kalyan Khani OC,1.76
2021-22,Telangana,SCCL,Ravindra Khani-5 Incline,0.29
2021-22,Telangana,SCCL,Ravindra Khani-6 Incline,0.30
2021-22,Telangana,SCCL,"Ravindra Khani-7,Incline",0.32
2021-22,Telangana,SCCL,"Ravindra Khani-New Tech,",0.27
2021-22,Telangana,SCCL,"Srirampur-1, Incline",0.15
2021-22,Telangana,SCCL,"Srirampur-3 & 3A,",0.26
2021-22,Telangana,SCCL,"Indaram Khani-1A, Incline",0.45
2021-22,Telangana,SCCL,Srirampur OC,2.78
2021-22,Telangana,SCCL,Indaram Khani-OC,1.50
2021-22,Madhya Pradesh,SECL,Dhanpuri,0.00
2021-22,Madhya Pradesh,SECL,Subhas Incline,0.00
2021-22,Madhya Pradesh,SECL,Amlai UG,0.00
2021-22,Madhya Pradesh,SECL,New Amlai,0.00
2021-22,Madhya Pradesh,SECL,Chachai,0.00
2021-22,Madhya Pradesh,SECL,Bangwar,0.65
2021-22,Madhya Pradesh,SECL,Navgaon,0.00
2021-22,Madhya Pradesh,SECL,Rajendra,0.16
2021-22,Madhya Pradesh,SECL,Sharda Highwall,0.32
2021-22,Madhya Pradesh,SECL,Baiga,0.00
2021-22,Madhya Pradesh,SECL,Dhanpuri,0.45
2021-22,Madhya Pradesh,SECL,Sharda,0.00
2021-22,Madhya Pradesh,SECL,Amlai OC,1.32
2021-22,Madhya Pradesh,SECL,Damini,0.30
2021-22,Madhya Pradesh,SECL,Khairaha,0.82
2021-22,Madhya Pradesh,SECL,Nowrozabad (E),0.00
2021-22,Madhya Pradesh,SECL,Nowrozabad (W),0.09
2021-22,Madhya Pradesh,SECL,Birsinghpur,0.00
2021-22,Madhya Pradesh,SECL,PALI,0.13
2021-22,Madhya Pradesh,SECL,Umaria,0.11
2021-22,Madhya Pradesh,SECL,Piparia,0.09
2021-22,Madhya Pradesh,SECL,Pinoura,0.00
2021-22,Madhya Pradesh,SECL,Vindhya,0.51
2021-22,Madhya Pradesh,SECL,Kanchan OC,0.75
